Dag,Maersk
2021-07-01,85
2021-07-02,76
2021-07-03,38
2021-07-04,42
2021-07-05,77
2021-07-06,85
2021-07-07,74
2021-07-08,88
2021-07-09,95
2021-07-10,46
2021-07-11,47
2021-07-12,89
2021-07-13,100
2021-07-14,72
2021-07-15,70
2021-07-16,80
2021-07-17,46
2021-07-18,32
2021-07-19,83
2021-07-20,76
2021-07-21,49
2021-07-22,82
2021-07-23,68
2021-07-24,35
2021-07-25,38
2021-07-26,76
2021-07-27,94
2021-07-28,91
2021-07-29,90
2021-07-30,85
2021-07-31,40
2021-08-01,29
2021-08-02,94
2021-08-03,77
2021-08-04,74
2021-08-05,85
2021-08-06,67
2021-08-07,38
2021-08-08,30
2021-08-09,81
2021-08-10,78
2021-08-11,75
2021-08-12,67
2021-08-13,75
2021-08-14,33
2021-08-15,40
2021-08-16,79
2021-08-17,74
2021-08-18,61
2021-08-19,77
2021-08-20,68
2021-08-21,39
2021-08-22,17
2021-08-23,93
2021-08-24,67
2021-08-25,96
2021-08-26,85
2021-08-27,73
2021-08-28,38
2021-08-29,35
2021-08-30,79
2021-08-31,63
2021-09-01,80
